1 2 3 4 5 6
295 1215 143 2135 2184 Перед_Вами_ТОДИС._Ровный_ли_он?
231 1210 1309 2008 2071 _Увядший_ли_БАРОХ?
197 1202 1307 2037 2161 _Сочный_ли_ЛИМОН?
184 1208 1307 2156 2024 _Легкий_ли_XXXXX?
226 1210 1310 2058 2066 _С_веточкой_ли_БАРОХ?
289 1203 57 2208 2025 На_экране_КОКОС._Он_с_молоком?
296 1209 160 2152 2183 Вы_видите_XXXXX._Очищен_ли_он?
289 1201 89 2057 2159 На_экране_XXXXX._Целый_ли_он?
289 1205 73 2182 2041 На_экране_XXXXX._Сырой_ли_он?
292 1209 156 2196 2148 Это_XXXXX._Цельный_ли_он?
291 1207 43 2172 2011 Вот_ФИНИК._Он_скользкий?
295 1205 79 2195 2047 Перед_Вами_XXXXX._Блестит_ли_он?
291 1213 123 2227 2091 Вот_XXXXX._Он_разрезанный?
165 1206 1307 2043 2005 _Влажный_ли_БАНАН?
290 1215 138 2130 2191 Посмотрите,_вот_ТОДИС._Он_надрезан?
214 1204 1307 2013 2054 _Пышный_ли_XXXXX?
296 1203 64 2032 2192 Вы_видите_КОКОС._Он_мягкий?
242 1212 1308 2082 2018 _Надломан_ли_XXXXX?
294 1201 94 2203 2062 На_мониторе_XXXXX._Он_спелый?
193 1202 1309 2062 2033 _Старый_ли_ЛИМОН?
289 1211 105 2208 2073 На_экране_ЛИРОХ._Он_имеет_мякоть?
257 1214 1306 2113 2060 _Белый_ли_внутри_ГОНИК?
181 1208 1307 2021 2153 _Плоский_ли_XXXXX?
209 1204 1307 2049 2028 _С_ботвой_ли_XXXXX?
247 1212 1310 2087 2054 _Пустой_ли_XXXXX?
293 1213 125 2212 2093 На_картинке_XXXXX._Колючий_ли_он?
275 1216 1307 2012 2139 _Бархатистый_ли_XXXXX?
294 1207 46 2014 2181 На_мониторе_ФИНИК._Он_сморщенный?
261 1214 1308 2042 2117 _Овальный_ли_ГОНИК?
295 1211 111 2199 2079 Перед_Вами_ЛИРОХ._Он_высушенный?
162 1206 1308 2002 2046 _Свежий_ли_БАНАН?
161 1206 1309 2001 2048 _Чистый_ли_БАНАН?
294 1205 78 2194 2046 На_мониторе_XXXXX._Хрустящий_ли_он?
296 1205 80 2176 2048 Вы_видите_XXXXX._Он_цитрусовый?
228 1210 1309 2068 2064 _Пушистый_ли_БАРОХ?
168 1206 1310 2008 2168 _Репчатый_ли_БАНАН?
276 1216 1308 2051 2140 _Однотонный_ли_XXXXX?
293 1205 77 2045 2212 На_картинке_XXXXX._Он_слоеный?
277 1216 1307 2023 2141 _Прозрачный_ли_XXXXX?
292 1205 76 2044 2201 Это_XXXXX._Он_бугристый?
259 1214 1306 2017 2115 _Голубой_ли_ГОНИК?
200 1202 1309 2040 2164 _Без_кожуры_ли_ЛИМОН?
227 1210 1310 2001 2067 _Раскрыт_ли_БАРОХ?
178 1208 1306 2018 2026 _В_стручке_ли_XXXXX?
210 1204 1310 2050 2015 _Алый_ли_XXXXX?
177 1208 1309 2017 2030 _Рыхлый_ли_XXXXX?
294 1203 62 2030 2190 На_мониторе_КОКОС._Плотный_ли_он?
212 1204 1306 2027 2052 _Жирный_ли_XXXXX?
296 1201 96 2183 2064 Вы_видите_XXXXX._Вязкий_ли_он?
290 1213 122 2090 2175 Посмотрите,_вот_XXXXX._Он_фаршированный?
295 1213 127 2195 2095 Перед_Вами_XXXXX._Он_зернистый?
293 1211 109 2186 2077 На_картинке_ЛИРОХ._Синий_ли_он?
258 1214 1307 2032 2114 _Ребристый_ли_ГОНИК?
293 1215 141 2133 2225 На_картинке_ТОДИС._Спрессован_ли_он?
294 1211 110 2078 2190 На_мониторе_ЛИРОХ._Он_с_дольками?
243 1212 1306 2083 2031 _Волнистый_ли_XXXXX?
296 1211 112 2192 2080 Вы_видите_ЛИРОХ._Мятый_ли_он?
291 1205 75 2043 2227 Вот_XXXXX._Он_гнилой?
179 1208 1310 2010 2019 _Ядовитый_ли_XXXXX?
296 1215 144 2136 2205 Вы_видите_ТОДИС._Он_имеет_шипы?
195 1202 1308 2035 2042 _С_цедрой_ли_ЛИМОН?
293 1209 157 2149 2220 На_картинке_XXXXX._Он_шершавый?
291 1215 139 2131 2172 Вот_ТОДИС._Он_перекручен?
295 1201 95 2063 2217 Перед_Вами_XXXXX._Он_серый?
167 1206 1307 2057 2007 _Сиреневый_ли_БАНАН?
290 1203 58 2231 2026 Посмотрите,_вот_КОКОС._Полый_ли_он?
215 1204 1308 2029 2055 _Крепкий_ли_XXXXX?
216 1204 1310 2056 2158 _Круглый_ли_XXXXX?
199 1202 1310 2163 2039 _Упругий_ли_ЛИМОН?
290 1201 90 2058 2189 Посмотрите,_вот_XXXXX._Мясистый_ли_он?
260 1214 1308 2055 2116 _С_бугорками_ли_ГОНИК?
262 1214 1310 2061 2118 _Жидкий_ли_ГОНИК?
289 1207 41 2232 2009 На_экране_ФИНИК._Коричневый_ли_он?
295 1207 47 2015 2184 Перед_Вами_ФИНИК._Он_с_косточкой?
248 1212 1309 2021 2088 _Белый_ли_XXXXX?
293 1207 45 2013 2225 На_картинке_ФИНИК._Мохнатый_ли_он?
292 1203 60 2028 2180 Это_КОКОС._Пористый_ли_он?
198 1202 1308 2038 2162 _Длинный_ли_ЛИМОН?
291 1209 155 2228 2147 Вот_XXXXX._Тонкий_ли_он?
290 1205 74 2175 2042 Посмотрите,_вот_XXXXX._Черный_ли_он?
292 1215 140 2132 2214 Это_ТОДИС._Сорван_ли_он?
280 1216 1307 2005 2144 _Скручен_ли_XXXXX?
292 1207 44 2214 2012 Это_ФИНИК._Ломкий_ли_он?
289 1213 121 2089 2182 На_экране_XXXXX._Испачкан_ли_он?
290 1209 154 2146 2189 Посмотрите,_вот_XXXXX._Он_розовый?
180 1208 1306 2020 2031 _Полосатый_ли_XXXXX?
274 1216 1306 2014 2138 _Изогнут_ли_XXXXX?
241 1212 1307 2081 2002 _Вытянут_ли_XXXXX?
290 1211 106 2231 2074 Посмотрите,_вот_ЛИРОХ._Продолговатый_ли_он?
295 1203 63 2199 2031 Перед_Вами_КОКОС._Он_ворсистый?
196 1202 1308 2036 2063 _Кислый_ли_ЛИМОН?
166 1206 1306 2044 2006 _Съедобный_ли_БАНАН?
295 1209 159 2151 2217 Перед_Вами_XXXXX._Он_рассыпчатый?
296 1207 48 2205 2016 Вы_видите_ФИНИК._Он_треугольный?
278 1216 1308 2027 2142 _Измельчен_ли_XXXXX?
229 1210 1306 2038 2069 _Квадратный_ли_БАРОХ?
211 1204 1307 2009 2051 _Пряный_ли_XXXXX?
213 1204 1308 2053 2157 _Соленый_ли_XXXXX?
273 1216 1307 2047 2137 _Красноватый_ли_XXXXX?
291 1211 107 2177 2075 Вот_ЛИРОХ._Пятнистый_ли_он?
164 1206 1310 2004 2167 _Сладкий_ли_БАНАН?
291 1203 59 2027 2177 Вот_КОКОС._Гладкий_ли_он?
294 1215 142 2181 2134 На_мониторе_ТОДИС._Желтый_ли_он?
264 1214 1309 2120 2030 _Золотистый_ли_ГОНИК?
290 1207 42 2010 2191 Посмотрите,_вот_ФИНИК._Сахаристый_ли_он?
182 1208 1309 2022 2154 _Толченый_ли_XXXXX?
294 1213 126 2094 2194 На_мониторе_XXXXX._Оранжевый_ли_он?
292 1211 108 2180 2076 Это_ЛИРОХ._Он_с_кожурой?
183 1208 1308 2023 2155 _Зеленый_ли_XXXXX?
230 1210 1308 2035 2070 _Склизкий_ли_БАРОХ?
296 1213 128 2176 2096 Вы_видите_XXXXX._Округлый_ли_он?
293 1201 93 2061 2220 На_картинке_XXXXX._Он_острый?
292 1201 92 2060 2196 Это_XXXXX._Он_яркий?
232 1210 1306 2072 2041 _Разноцветный_ли_БАРОХ?
225 1210 1308 2065 2036 _Сушеный_ли_БАРОХ?
294 1209 158 2150 2203 На_мониторе_XXXXX._Заострен_ли_он?
194 1202 1309 2034 2058 _Фиолетовый_ли_ЛИМОН?
263 1214 1306 2004 2119 _Лохматый_ли_ГОНИК?
289 1209 153 2145 2211 На_экране_XXXXX._Он_с_чешуйками?
163 1206 1308 2003 2064 _Жаренный_ли_БАНАН?
289 1215 137 2232 2129 На_экране_ТОДИС._Он_шарообразный?
291 1201 91 2228 2059 Вот_XXXXX._Горький_ли_он?
279 1216 1306 2143 2050 _Цветущий_ли_XXXXX?
245 1212 1306 2057 2085 _Выжатый_ли_XXXXX?
244 1212 1306 2084 2016 _Бурый_ли_XXXXX?
293 1203 61 2186 2029 На_картинке_КОКОС._Он_вареный?
246 1212 1306 2024 2086 _Объемный_ли_XXXXX?
292 1213 124 2201 2092 Это_XXXXX._Он_с_лепестками?
