1 2 3 4 5 6
192 1203 1310 2032 2020 _Мягкий_ли_XXXXX?
231 1211 1307 2016 2071 _Увядший_ли_XXXXX?
171 1207 1308 2056 2011 _Скользкий_ли_XXXXX?
295 1216 143 2135 2178 Перед_Вами_XXXXX._Ровный_ли_он?
293 1202 69 2207 2037 На_картинке_ЛИМОН._Сочный_ли_он?
289 1212 105 2213 2073 На_экране_XXXXX._Он_имеет_мякоть?
207 1205 1308 2047 2155 _Блестит_ли_ПЕРЕЦ?
217 1201 1310 2159 2057 _Целый_ли_ТОМАТ?
296 1208 56 2202 2024 Вы_видите_XXXXX._Легкий_ли_он?
201 1205 1309 2041 2034 _Сырой_ли_ПЕРЕЦ?
290 1216 138 2130 2193 Посмотрите,_вот_XXXXX._Он_надрезан?
293 1214 125 2179 2093 На_картинке_ГОНИК._Колючий_ли_он?
296 1210 160 2198 2152 Вы_видите_БАРОХ._Очищен_ли_он?
174 1207 1307 2014 2166 _Сморщенный_ли_XXXXX?
294 1204 86 2054 2174 На_мониторе_XXXXX._Пышный_ли_он?
226 1211 1307 2054 2066 _С_веточкой_ли_XXXXX?
293 1206 33 2005 2179 На_картинке_БАНАН._Влажный_ли_он?
295 1212 111 2187 2079 Перед_Вами_XXXXX._Он_высушенный?
293 1208 53 2021 2170 На_картинке_XXXXX._Он_плоский?
185 1203 1307 2025 2023 _С_молоком_ли_XXXXX?
291 1214 123 2219 2091 Вот_ГОНИК._Он_разрезанный?
242 1213 1308 2005 2082 _Надломан_ли_КОДИС?
275 1209 1306 2011 2139 _Бархатистый_ли_РЕНАН?
247 1213 1309 2057 2087 _Пустой_ли_КОДИС?
290 1206 30 2002 2223 Посмотрите,_вот_БАНАН._Свежий_ли_он?
222 1201 1310 2158 2062 _Спелый_ли_ТОМАТ?
261 1215 1307 2004 2117 _Овальный_ли_XXXXX?
292 1210 156 2188 2148 Это_БАРОХ._Цельный_ли_он?
289 1202 65 2033 2230 На_экране_ЛИМОН._Он_старый?
257 1215 1308 2019 2113 _Белый_ли_внутри_XXXXX?
289 1204 81 2049 2213 На_экране_XXXXX._Он_с_ботвой?
187 1203 1309 2027 2049 _Гладкий_ли_XXXXX?
221 1201 1310 2153 2061 _Острый_ли_ТОМАТ?
206 1205 1307 2008 2046 _Хрустящий_ли_ПЕРЕЦ?
293 1210 157 2207 2149 На_картинке_БАРОХ._Он_шершавый?
296 1212 112 2197 2080 Вы_видите_XXXXX._Мятый_ли_он?
203 1205 1310 2039 2043 _Гнилой_ли_ПЕРЕЦ?
291 1212 107 2173 2075 Вот_XXXXX._Пятнистый_ли_он?
292 1206 32 2004 2210 Это_БАНАН._Сладкий_ли_он?
208 1205 1306 2035 2048 _Цитрусовый_ли_ПЕРЕЦ?
295 1202 71 2039 2200 Перед_Вами_ЛИМОН._Он_длинный?
280 1209 1309 2144 2047 _Скручен_ли_РЕНАН?
294 1216 142 2134 2169 На_мониторе_XXXXX._Желтый_ли_он?
290 1204 82 2050 2204 Посмотрите,_вот_XXXXX._Он_алый?
289 1208 49 2221 2017 На_экране_XXXXX._Рыхлый_ли_он?
295 1208 55 2023 2178 Перед_Вами_XXXXX._Зеленый_ли_он?
244 1213 1308 2028 2084 _Бурый_ли_КОДИС?
290 1202 66 2034 2209 Посмотрите,_вот_ЛИМОН._Фиолетовый_ли_он?
190 1203 1308 2030 2162 _Плотный_ли_XXXXX?
218 1201 1308 2001 2058 _Мясистый_ли_ТОМАТ?
262 1215 1306 2118 2007 _Жидкий_ли_XXXXX?
263 1215 1307 2006 2119 _Лохматый_ли_XXXXX?
232 1211 1309 2021 2072 _Разноцветный_ли_XXXXX?
246 1213 1307 2034 2086 _Объемный_ли_КОДИС?
289 1210 153 2230 2145 На_экране_БАРОХ._Он_с_чешуйками?
248 1213 1310 2088 2043 _Белый_ли_КОДИС?
223 1201 1307 2063 2156 _Серый_ли_ТОМАТ?
292 1214 124 2092 2210 Это_ГОНИК._Он_с_лепестками?
274 1209 1309 2040 2138 _Изогнут_ли_РЕНАН?
292 1216 140 2132 2206 Это_XXXXX._Сорван_ли_он?
295 1210 159 2200 2151 Перед_Вами_БАРОХ._Он_рассыпчатый?
289 1206 29 2229 2001 На_экране_БАНАН._Он_чистый?
292 1202 68 2188 2036 Это_ЛИМОН._Кислый_ли_он?
172 1207 1310 2054 2012 _Ломкий_ли_XXXXX?
191 1203 1310 2031 2018 _Ворсистый_ли_XXXXX?
259 1215 1309 2115 2035 _Голубой_ли_XXXXX?
225 1211 1308 2041 2065 _Сушеный_ли_XXXXX?
186 1203 1309 2026 2019 _Полый_ли_XXXXX?
291 1210 155 2226 2147 Вот_БАРОХ._Тонкий_ли_он?
294 1208 54 2169 2022 На_мониторе_XXXXX._Он_толченый?
188 1203 1309 2028 2022 _Пористый_ли_XXXXX?
243 1213 1310 2083 2029 _Волнистый_ли_КОДИС?
296 1214 128 2222 2096 Вы_видите_ГОНИК._Округлый_ли_он?
293 1216 141 2133 2170 На_картинке_XXXXX._Спрессован_ли_он?
277 1209 1310 2141 2003 _Прозрачный_ли_РЕНАН?
295 1204 87 2055 2187 Перед_Вами_XXXXX._Крепкий_ли_он?
290 1210 154 2146 2209 Посмотрите,_вот_БАРОХ._Он_розовый?
292 1204 84 2171 2052 Это_XXXXX._Жирный_ли_он?
296 1216 144 2136 2202 Вы_видите_XXXXX._Он_имеет_шипы?
291 1202 67 2226 2035 Вот_ЛИМОН._Он_с_цедрой?
290 1208 50 2018 2193 Посмотрите,_вот_XXXXX._Он_в_стручке?
219 1201 1310 2040 2059 _Горький_ли_ТОМАТ?
258 1215 1309 2114 2038 _Ребристый_ли_XXXXX?
291 1204 83 2173 2051 Вот_XXXXX._Пряный_ли_он?
205 1205 1306 2045 2005 _Черный_ли_ПЕРЕЦ?
291 1206 31 2003 2219 Вот_БАНАН._Он_жаренный?
227 1211 1310 2063 2067 _Раскрыт_ли_XXXXX?
169 1207 1310 2168 2009 _Коричневый_ли_XXXXX?
189 1203 1310 2029 2167 _Вареный_ли_XXXXX?
276 1209 1307 2140 2042 _Однотонный_ли_РЕНАН?
294 1206 34 2224 2006 На_мониторе_БАНАН._Он_съедобный?
294 1212 110 2174 2078 На_мониторе_XXXXX._Он_с_дольками?
291 1208 51 2216 2019 Вот_XXXXX._Ядовитый_ли_он?
278 1209 1307 2045 2142 _Измельчен_ли_РЕНАН?
264 1215 1306 2120 2064 _Золотистый_ли_XXXXX?
245 1213 1309 2085 2010 _Выжатый_ли_КОДИС?
170 1207 1307 2017 2010 _Сахаристый_ли_XXXXX?
230 1211 1308 2070 2055 _Склизкий_ли_XXXXX?
176 1207 1309 2016 2052 _Треугольный_ли_XXXXX?
220 1201 1306 2060 2038 _Яркий_ли_ТОМАТ?
293 1204 85 2053 2185 На_картинке_XXXXX._Он_соленый?
260 1215 1308 2030 2116 _С_бугорками_ли_XXXXX?
296 1206 40 2008 2222 Вы_видите_БАНАН._Он_репчатый?
241 1213 1307 2081 2056 _Вытянут_ли_КОДИС?
173 1207 1306 2013 2161 _Мохнатый_ли_XXXXX?
228 1211 1307 2017 2068 _Пушистый_ли_XXXXX?
291 1216 139 2216 2131 Вот_XXXXX._Он_перекручен?
175 1207 1308 2164 2015 _С_косточкой_ли_XXXXX?
273 1209 1307 2137 2012 _Красноватый_ли_РЕНАН?
289 1214 121 2229 2089 На_экране_ГОНИК._Испачкан_ли_он?
202 1205 1307 2042 2037 _Слоеный_ли_ПЕРЕЦ?
279 1209 1307 2143 2058 _Цветущий_ли_РЕНАН?
294 1214 126 2094 2224 На_мониторе_ГОНИК._Оранжевый_ли_он?
224 1201 1309 2064 2036 _Вязкий_ли_ТОМАТ?
292 1212 108 2171 2076 Это_XXXXX._Он_с_кожурой?
289 1216 137 2221 2129 На_экране_XXXXX._Он_шарообразный?
229 1211 1307 2069 2050 _Квадратный_ли_XXXXX?
294 1210 158 2150 2218 На_мониторе_БАРОХ._Заострен_ли_он?
294 1202 70 2218 2038 На_мониторе_ЛИМОН._Упругий_ли_он?
296 1204 88 2056 2197 Вы_видите_XXXXX._Он_круглый?
290 1212 106 2074 2204 Посмотрите,_вот_XXXXX._Продолговатый_ли_он?
296 1202 72 2040 2198 Вы_видите_ЛИМОН._Он_без_кожуры?
290 1214 122 2223 2090 Посмотрите,_вот_ГОНИК._Он_фаршированный?
204 1205 1306 2157 2044 _Бугристый_ли_ПЕРЕЦ?
