1 2 3 4 5 6
293 1213 133 2190 2117 На_картинке_КОДИС._Овальный_ли_он?
291 1207 43 2011 2191 Вот_XXXXX._Он_скользкий?
290 1209 98 2214 2066 Посмотрите,_вот_РЕНАН._Он_с_веточкой?
239 1210 1310 2079 2027 _Высушенный_ли_XXXXX?
294 1207 46 2193 2014 На_мониторе_XXXXX._Он_сморщенный?
193 1202 1306 2047 2033 _Старый_ли_XXXXX?
291 1215 147 2139 2191 Вот_XXXXX._Он_бархатистый?
165 1206 1310 2046 2005 _Влажный_ли_XXXXX?
295 1211 119 2087 2224 Перед_Вами_XXXXX._Пустой_ли_он?
284 1216 1309 2023 2148 _Цельный_ли_ПЕМАТ?
233 1210 1307 2022 2073 _Имеет_ли_мякоть_XXXXX?
289 1213 129 2181 2113 На_экране_КОДИС._Он_белый_внутри?
295 1205 79 2212 2047 Перед_Вами_ПЕРЕЦ._Блестит_ли_он?
266 1214 1307 2045 2130 _Надрезан_ли_XXXXX?
295 1209 103 2071 2188 Перед_Вами_РЕНАН._Увядший_ли_он?
271 1214 1306 2135 2042 _Ровный_ли_XXXXX?
209 1204 1306 2158 2049 _С_ботвой_ли_РЕДИС?
184 1208 1308 2010 2024 _Легкий_ли_ГОРОХ?
251 1212 1307 2016 2091 _Разрезан_ли_ФИМОН?
197 1202 1306 2037 2164 _Сочный_ли_XXXXX?
289 1203 57 2025 2231 На_экране_XXXXX._Он_с_молоком?
296 1203 64 2203 2032 Вы_видите_XXXXX._Он_мягкий?
290 1211 114 2082 2189 Посмотрите,_вот_XXXXX._Он_надломан?
294 1201 94 2195 2062 На_мониторе_ТОМАТ._Он_спелый?
214 1204 1310 2029 2054 _Пышный_ли_РЕДИС?
181 1208 1306 2156 2021 _Плоский_ли_ГОРОХ?
253 1212 1306 2038 2093 _Колючий_ли_ФИМОН?
289 1201 89 2198 2057 На_экране_ТОМАТ._Целый_ли_он?
162 1206 1307 2058 2002 _Свежий_ли_XXXXX?
289 1205 73 2181 2041 На_экране_ПЕРЕЦ._Сырой_ли_он?
288 1216 1306 2018 2152 _Очищен_ли_ПЕМАТ?
177 1208 1309 2017 2015 _Рыхлый_ли_ГОРОХ?
282 1216 1308 2146 2044 _Розовый_ли_ПЕМАТ?
265 1214 1310 2129 2003 _Шарообразный_ли_XXXXX?
291 1203 59 2220 2027 Вот_XXXXX._Гладкий_ли_он?
289 1209 97 2198 2065 На_экране_РЕНАН._Сушеный_ли_он?
290 1203 58 2189 2026 Посмотрите,_вот_XXXXX._Полый_ли_он?
254 1212 1307 2057 2094 _Оранжевый_ли_ФИМОН?
283 1216 1309 2051 2147 _Тонкий_ли_ПЕМАТ?
167 1206 1310 2043 2007 _Сиреневый_ли_XXXXX?
291 1211 115 2220 2083 Вот_XXXXX._Он_волнистый?
290 1215 146 2138 2221 Посмотрите,_вот_XXXXX._Изогнут_ли_он?
212 1204 1307 2052 2154 _Жирный_ли_РЕДИС?
234 1210 1309 2064 2074 _Продолговатый_ли_XXXXX?
292 1207 44 2012 2218 Это_XXXXX._Ломкий_ли_он?
292 1211 116 2174 2084 Это_XXXXX._Он_бурый?
211 1204 1309 2032 2051 _Пряный_ли_РЕДИС?
267 1214 1309 2032 2131 _Перекручен_ли_XXXXX?
210 1204 1310 2050 2028 _Алый_ли_РЕДИС?
293 1209 101 2069 2175 На_картинке_РЕНАН._Он_квадратный?
256 1212 1309 2050 2096 _Округлый_ли_ФИМОН?
289 1211 113 2231 2081 На_экране_XXXXX._Он_выжатый?
294 1213 134 2229 2118 На_мониторе_КОДИС._Жидкий_ли_он?
291 1213 131 2115 2223 Вот_КОДИС._Голубой_ли_он?
293 1207 45 2013 2192 На_картинке_XXXXX._Мохнатый_ли_он?
213 1204 1308 2025 2053 _Соленый_ли_РЕДИС?
295 1203 63 2031 2224 Перед_Вами_XXXXX._Он_ворсистый?
294 1211 118 2086 2213 На_мониторе_XXXXX._Объемный_ли_он?
295 1201 95 2188 2063 Перед_Вами_ТОМАТ._Он_серый?
292 1213 132 2200 2116 Это_КОДИС._Он_с_бугорками?
290 1207 42 2010 2221 Посмотрите,_вот_XXXXX._Сахаристый_ли_он?
250 1212 1309 2090 2035 _Фаршированный_ли_ФИМОН?
296 1211 120 2088 2203 Вы_видите_XXXXX._Белый_ли_он?
216 1204 1310 2056 2153 _Круглый_ли_РЕДИС?
281 1216 1306 2145 2033 _С_чешуйками_ли_ПЕМАТ?
272 1214 1307 2136 2014 _Имеет_ли_шипы_XXXXX?
237 1210 1307 2053 2077 _Синий_ли_XXXXX?
168 1206 1308 2008 2045 _Репчатый_ли_XXXXX?
285 1216 1307 2058 2149 _Шершавый_ли_ПЕМАТ?
199 1202 1310 2039 2063 _Упругий_ли_XXXXX?
236 1210 1309 2076 2024 _С_косточкой_ли_XXXXX?
255 1212 1309 2095 2001 _Зернистый_ли_ФИМОН?
293 1215 149 2141 2192 На_картинке_XXXXX._Он_прозрачный?
179 1208 1309 2019 2159 _Ядовитый_ли_ГОРОХ?
293 1205 77 2190 2045 На_картинке_ПЕРЕЦ._Он_слоеный?
291 1201 91 2059 2222 Вот_ТОМАТ._Горький_ли_он?
293 1211 117 2226 2085 На_картинке_XXXXX._Вытянут_ли_он?
293 1203 61 2029 2226 На_картинке_XXXXX._Он_вареный?
180 1208 1306 2155 2020 _Полосатый_ли_ГОРОХ?
296 1201 96 2177 2064 Вы_видите_ТОМАТ._Вязкий_ли_он?
294 1209 102 2195 2070 На_мониторе_РЕНАН._Разноцветный_ли_он?
290 1201 90 2058 2214 Посмотрите,_вот_ТОМАТ._Мясистый_ли_он?
215 1204 1307 2055 2030 _Крепкий_ли_РЕДИС?
294 1215 150 2193 2142 На_мониторе_XXXXX._Он_измельчен?
249 1212 1306 2013 2089 _Испачкан_ли_ФИМОН?
296 1215 152 2204 2144 Вы_видите_XXXXX._Скручен_ли_он?
240 1210 1307 2059 2080 _Мятый_ли_XXXXX?
161 1206 1308 2041 2001 _Чистый_ли_XXXXX?
183 1208 1307 2031 2023 _Зеленый_ли_ГОРОХ?
292 1203 60 2174 2028 Это_XXXXX._Пористый_ли_он?
286 1216 1308 2150 2002 _Заострен_ли_ПЕМАТ?
291 1209 99 2067 2222 Вот_РЕНАН._Он_раскрыт?
294 1205 78 2229 2046 На_мониторе_ПЕРЕЦ._Хрустящий_ли_он?
296 1213 136 2120 2194 Вы_видите_КОДИС._Он_золотистый?
293 1201 93 2175 2061 На_картинке_ТОМАТ._Он_острый?
