1 2 3 4 5 6
193 1202 1308 2045 2033 _Старый_ли_XXXXX?
165 1206 1307 2005 2161 _Влажный_ли_XXXXX?
271 1212 1308 2023 2135 _Ровный_ли_ФИМОН?
184 1208 1310 2014 2024 _Легкий_ли_ГОРОХ?
296 1203 64 2032 2192 Вы_видите_XXXXX._Он_мягкий?
291 1213 147 2227 2139 Вот_КОДИС._Он_бархатистый?
214 1204 1308 2054 2012 _Пышный_ли_РЕДИС?
284 1214 1306 2006 2148 _Цельный_ли_XXXXX?
251 1210 1310 2091 2060 _Разрезан_ли_XXXXX?
288 1214 1308 2152 2027 _Очищен_ли_XXXXX?
295 1215 103 2184 2071 Перед_Вами_XXXXX._Увядший_ли_он?
290 1209 114 2082 2189 Посмотрите,_вот_РЕНАН._Он_надломан?
209 1204 1310 2160 2049 _С_ботвой_ли_РЕДИС?
239 1216 1309 2079 2005 _Высушенный_ли_ПЕМАТ?
290 1215 98 2066 2191 Посмотрите,_вот_XXXXX._Он_с_веточкой?
289 1211 129 2113 2208 На_экране_XXXXX._Он_белый_внутри?
162 1206 1306 2002 2162 _Свежий_ли_XXXXX?
266 1212 1310 2130 2017 _Надрезан_ли_ФИМОН?
295 1205 79 2047 2195 Перед_Вами_ПЕРЕЦ._Блестит_ли_он?
294 1207 46 2181 2014 На_мониторе_XXXXX._Он_сморщенный?
181 1208 1310 2021 2016 _Плоский_ли_ГОРОХ?
197 1202 1306 2037 2048 _Сочный_ли_XXXXX?
289 1201 89 2159 2057 На_экране_ТОМАТ._Целый_ли_он?
233 1216 1310 2029 2073 _Имеет_ли_мякоть_ПЕМАТ?
253 1210 1306 2004 2093 _Колючий_ли_XXXXX?
293 1211 133 2117 2186 На_картинке_XXXXX._Овальный_ли_он?
289 1203 57 2025 2208 На_экране_XXXXX._Он_с_молоком?
294 1201 94 2203 2062 На_мониторе_ТОМАТ._Он_спелый?
295 1209 119 2087 2217 Перед_Вами_РЕНАН._Пустой_ли_он?
289 1205 73 2182 2041 На_экране_ПЕРЕЦ._Сырой_ли_он?
291 1207 43 2011 2172 Вот_XXXXX._Он_скользкий?
285 1214 1306 2049 2149 _Шершавый_ли_XXXXX?
296 1205 80 2176 2048 Вы_видите_ПЕРЕЦ._Он_цитрусовый?
292 1205 76 2201 2044 Это_ПЕРЕЦ._Он_бугристый?
292 1213 148 2201 2140 Это_КОДИС._Однотонный_ли_он?
178 1208 1308 2025 2018 _В_стручке_ли_ГОРОХ?
289 1207 41 2009 2232 На_экране_XXXXX._Коричневый_ли_он?
281 1214 1309 2145 2035 _С_чешуйками_ли_XXXXX?
210 1204 1307 2050 2010 _Алый_ли_РЕДИС?
295 1203 63 2031 2199 Перед_Вами_XXXXX._Он_ворсистый?
296 1209 120 2088 2183 Вы_видите_РЕНАН._Белый_ли_он?
200 1202 1307 2040 2046 _Без_кожуры_ли_XXXXX?
294 1209 118 2086 2203 На_мониторе_РЕНАН._Объемный_ли_он?
194 1202 1308 2034 2057 _Фиолетовый_ли_XXXXX?
287 1214 1306 2151 2042 _Рассыпчатый_ли_XXXXX?
292 1215 100 2068 2214 Это_XXXXX._Пушистый_ли_он?
179 1208 1308 2159 2019 _Ядовитый_ли_ГОРОХ?
289 1215 97 2232 2065 На_экране_XXXXX._Сушеный_ли_он?
249 1210 1307 2043 2089 _Испачкан_ли_XXXXX?
234 1216 1308 2062 2074 _Продолговатый_ли_ПЕМАТ?
294 1213 150 2142 2194 На_мониторе_КОДИС._Он_измельчен?
238 1216 1306 2078 2016 _С_дольками_ли_ПЕМАТ?
182 1208 1309 2031 2022 _Толченый_ли_ГОРОХ?
198 1202 1309 2063 2038 _Длинный_ли_XXXXX?
161 1206 1310 2059 2001 _Чистый_ли_XXXXX?
164 1206 1308 2166 2004 _Сладкий_ли_XXXXX?
213 1204 1306 2030 2053 _Соленый_ли_РЕДИС?
292 1207 44 2012 2214 Это_XXXXX._Ломкий_ли_он?
291 1203 59 2177 2027 Вот_XXXXX._Гладкий_ли_он?
163 1206 1306 2003 2061 _Жаренный_ли_XXXXX?
295 1201 95 2217 2063 Перед_Вами_ТОМАТ._Он_серый?
256 1210 1307 2096 2009 _Округлый_ли_XXXXX?
168 1206 1307 2008 2043 _Репчатый_ли_XXXXX?
290 1211 130 2114 2231 Посмотрите,_вот_XXXXX._Ребристый_ли_он?
237 1216 1310 2037 2077 _Синий_ли_ПЕМАТ?
293 1201 93 2220 2061 На_картинке_ТОМАТ._Он_острый?
289 1209 113 2081 2211 На_экране_РЕНАН._Он_выжатый?
236 1216 1309 2076 2030 _С_косточкой_ли_ПЕМАТ?
177 1208 1307 2017 2013 _Рыхлый_ли_ГОРОХ?
290 1213 146 2138 2175 Посмотрите,_вот_КОДИС._Изогнут_ли_он?
211 1204 1306 2032 2051 _Пряный_ли_РЕДИС?
255 1210 1307 2095 2044 _Зернистый_ли_XXXXX?
235 1216 1310 2075 2064 _Пятнистый_ли_ПЕМАТ?
216 1204 1308 2056 2009 _Круглый_ли_РЕДИС?
